Generating SQLite file $STUDY_ROOT/nsys/decode-disabled/clean_decode.sqlite from $STUDY_ROOT/nsys/decode-disabled/clean_decode.nsys-rep
Processing [$STUDY_ROOT/nsys/decode-disabled/clean_decode.sqlite] with [$TOOL_ROOT/nsight-systems-2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]...

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     36.9         28374228        576   49260.8   49248.0     48160     51040        513.3  nvjet_sm90_tst_192x8_64x8_2x1_v_bz_TNT
     19.8         15206949        576   26401.0   26240.5     25600     28416        515.5  nvjet_sm90_tst_128x8_64x12_4x1_v_bz_splitK_TNT
     11.4          8743001        576   15178.8   15104.0     14304     17248        592.8  nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT
      8.1          6220219        576   10799.0   10784.0     10240     11776        236.7  nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT
      6.7          5178196        576    8989.9    8992.0      8641      9600        150.1  void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMa…
      6.1          4705295         16  294080.9  293937.0    292993    295777        877.5  nvjet_sm90_tst_384x8_64x4_2x1_v_bz_TNT
      3.2          2447245       1152    2124.3    2112.0      1952      2880        114.2  kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensor…
      2.5          1940069       1152    1684.1    1664.0      1600      2368         63.9  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat1…
      1.1           862915        576    1498.1    1440.0      1344      2304        135.0  void <unnamed>::fused_rope_kernel<(bool)1, (long)128, (bool)1, __nv_bfloat16, long, (unsigned int)1…
      1.0           795107        576    1380.4    1344.0      1216      2080        120.8  void <unnamed>::act_and_mul_kernel<__nv_bfloat16, (<unnamed>::ActivationKind)0, (bool)1, (bool)0>(<…
      1.0           764097        576    1326.6    1280.0      1216      2016         96.0  void <unnamed>::fused_qknorm_warp<(long)128, (bool)1, __nv_bfloat16>(<unnamed>::QKNormParams)
      1.0           744196        576    1292.0    1280.0      1152      1600         90.8  void <unnamed>::store_kvcache<(long)2048, (int)4, (bool)1, long>(<unnamed>::StoreKVCacheParams)
      0.6           425249        592     718.3     736.0       640       832         39.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
      0.2           126752         16    7922.0    7696.0      7456      8448        375.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<…
      0.1            59361         16    3710.1    3696.0      3552      3904        102.1  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.1            54912         16    3432.0    3408.0      3264      3648        109.3  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.1            53056         48    1105.3    1024.0       896      1632        191.5  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.1            39648         16    2478.0    2464.0      2400      2784         96.3  void flash::prepare_varlen_num_blocks_kernel<(int)1, (bool)1>(int, int, int, const int *, const int…
      0.0            36672         16    2292.0    2272.0      2176      2464         82.5  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.0            34016         16    2126.0    2096.0      1888      2496        158.5  void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2…
      0.0            30304         16    1894.0    1888.0      1856      2112         61.0  kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign12…
      0.0            26145         16    1634.1    1632.0      1536      1760         51.5  void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_…
      0.0            20128         16    1258.0    1248.0      1184      1408         66.8  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.0            19200         16    1200.0    1152.0      1120      1408         85.1  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<int>, std:…
      0.0            15136         16     946.0     928.0       928      1024         26.0  void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_add<long>, std…
      0.0            13248         16     828.0     800.0       800       960         53.4  void <unnamed>::clamp_position_kernel<long>(T1 *, const T1 *, unsigned long)
      0.0            12448         16     778.0     768.0       736       992         62.6  void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<int…
      0.0            10720         16     670.0     672.0       608       704         36.0  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
