Generating SQLite file $STUDY_ROOT/nsys/decode-full/clean_decode.sqlite from $STUDY_ROOT/nsys/decode-full/clean_decode.nsys-rep
Processing [$STUDY_ROOT/nsys/decode-full/clean_decode.sqlite] with [$TOOL_ROOT/nsight-systems-2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
36.2,28393977,576,49295.1,49312.0,48320,50752,548.9,nvjet_sm90_tst_192x8_64x8_2x1_v_bz_TNT
20.0,15730253,576,27309.5,27233.0,26017,29088,543.5,nvjet_sm90_tst_128x8_64x12_4x1_v_bz_splitK_TNT
11.3,8836956,576,15341.9,15360.0,14209,17664,753.9,nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT
7.8,6133104,576,10647.8,10560.0,10176,12416,343.1,nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT
6.7,5250797,576,9116.0,9024.0,8640,10497,305.7,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<(int)2, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cute::tuple<cute::C<(int)64>, cute::C<(int)128>, cute::C<(int)128>>, (int)128, cutlass::bfloat16_t, float, cutlass::arch::Sm90, (bool)1, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)1, (bool)0, (bool)0, cutlass::bfloat16_t, (bool)0, (int)1>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<(int)64>, cute::C<(int)128>, cute::C<(int)128>>, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cutlass::bfloat16_t, cutlass::arch::Sm90, (int)128, (bool)1, (bool)1, (bool)0, (bool)0>, flash::VarlenDynamicPersistentTileScheduler<(int)64, (int)128, (int)128, (int)128, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1>>>>(T1::Params)"
6.0,4698383,16,293648.9,293553.0,292257,295425,987.8,nvjet_sm90_tst_384x8_64x4_2x1_v_bz_TNT
3.6,2854726,1152,2478.1,2432.0,2144,4096,185.9,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign_0
2.8,2224968,1152,1931.4,1888.0,1728,2688,128.8,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
1.2,967874,576,1680.3,1632.0,1408,2976,208.7,"void <unnamed>::fused_rope_kernel<(bool)1, (long)128, (bool)1, __nv_bfloat16, long, (unsigned int)16>(<unnamed>::FusedRopeParams)"
1.2,929954,576,1614.5,1568.0,1408,2720,172.4,"void <unnamed>::fused_qknorm_warp<(long)128, (bool)1, __nv_bfloat16>(<unnamed>::QKNormParams)"
1.0,781922,576,1357.5,1312.0,1216,2176,119.9,"void <unnamed>::act_and_mul_kernel<__nv_bfloat16, (<unnamed>::ActivationKind)0, (bool)1, (bool)0>(<unnamed>::ActivationParams)"
1.0,764390,576,1327.1,1312.0,1056,2528,103.8,"void <unnamed>::store_kvcache<(long)2048, (int)4, (bool)1, long>(<unnamed>::StoreKVCacheParams)"
0.6,507938,576,881.8,896.0,832,1152,47.0,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.2,126912,16,7932.0,8016.0,7552,8416,249.8,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
0.1,66496,16,4156.0,4096.0,4000,4928,219.5,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.1,45568,16,2848.0,2816.0,2720,3040,112.7,"void flash::prepare_varlen_num_blocks_kernel<(int)1, (bool)1>(int, int, int, const int *, const int *, const int *, const int *, const int *, const int *, int, int, int, int, int, cutlass::FastDivmod, cutlass::FastDivmod, int *, int *, int *, int *, int *, bool, bool, bool, int)"
0.1,40288,16,2518.0,2480.0,2400,2784,106.3,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_put_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIterator &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
0.0,34624,16,2164.0,2112.0,2112,2336,71.9,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign16o40961_tensorptrbf16gmemalign128o409640961___True_2__0
0.0,30432,16,1902.0,1904.0,1792,2080,101.8,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
0.0,28224,16,1764.0,1712.0,1600,2080,173.7,_fused_metadata_kernel_ps1_no_swa
0.0,21536,16,1346.0,1344.0,1312,1376,18.4,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)2>, at::native::<unnamed>::UnaryOpFunctor<long, (int)2, (int)1, (int)1>, at::native::Copy<long, long>>(T1, T2, T3...)"
