Generating SQLite file $STUDY_ROOT/nsys/decode-full/clean_decode.sqlite from $STUDY_ROOT/nsys/decode-full/clean_decode.nsys-rep
Processing [$STUDY_ROOT/nsys/decode-full/clean_decode.sqlite] with [$TOOL_ROOT/nsight-systems-2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]...

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     36.2         28393977        576   49295.1   49312.0     48320     50752        548.9  nvjet_sm90_tst_192x8_64x8_2x1_v_bz_TNT
     20.0         15730253        576   27309.5   27233.0     26017     29088        543.5  nvjet_sm90_tst_128x8_64x12_4x1_v_bz_splitK_TNT
     11.3          8836956        576   15341.9   15360.0     14209     17664        753.9  nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT
      7.8          6133104        576   10647.8   10560.0     10176     12416        343.1  nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT
      6.7          5250797        576    9116.0    9024.0      8640     10497        305.7  void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMa…
      6.0          4698383         16  293648.9  293553.0    292257    295425        987.8  nvjet_sm90_tst_384x8_64x4_2x1_v_bz_TNT
      3.6          2854726       1152    2478.1    2432.0      2144      4096        185.9  kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensor…
      2.8          2224968       1152    1931.4    1888.0      1728      2688        128.8  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat1…
      1.2           967874        576    1680.3    1632.0      1408      2976        208.7  void <unnamed>::fused_rope_kernel<(bool)1, (long)128, (bool)1, __nv_bfloat16, long, (unsigned int)1…
      1.2           929954        576    1614.5    1568.0      1408      2720        172.4  void <unnamed>::fused_qknorm_warp<(long)128, (bool)1, __nv_bfloat16>(<unnamed>::QKNormParams)
      1.0           781922        576    1357.5    1312.0      1216      2176        119.9  void <unnamed>::act_and_mul_kernel<__nv_bfloat16, (<unnamed>::ActivationKind)0, (bool)1, (bool)0>(<…
      1.0           764390        576    1327.1    1312.0      1056      2528        103.8  void <unnamed>::store_kvcache<(long)2048, (int)4, (bool)1, long>(<unnamed>::StoreKVCacheParams)
      0.6           507938        576     881.8     896.0       832      1152         47.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
      0.2           126912         16    7932.0    8016.0      7552      8416        249.8  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<…
      0.1            66496         16    4156.0    4096.0      4000      4928        219.5  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.1            45568         16    2848.0    2816.0      2720      3040        112.7  void flash::prepare_varlen_num_blocks_kernel<(int)1, (bool)1>(int, int, int, const int *, const int…
      0.1            40288         16    2518.0    2480.0      2400      2784        106.3  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.0            34624         16    2164.0    2112.0      2112      2336         71.9  kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign12…
      0.0            30432         16    1902.0    1904.0      1792      2080        101.8  void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2…
      0.0            28224         16    1764.0    1712.0      1600      2080        173.7  _fused_metadata_kernel_ps1_no_swa
      0.0            21536         16    1346.0    1344.0      1312      1376         18.4  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.0            21440         16    1340.0    1344.0      1216      1600        108.9  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0            20960         16    1310.0    1248.0      1088      1568        212.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<int>, std:…
      0.0            16128         16    1008.0     960.0       960      1184         73.9  void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_add<long>, std…
      0.0            14112         16     882.0     832.0       800      1056         89.0  void <unnamed>::clamp_position_kernel<long>(T1 *, const T1 *, unsigned long)
