Generating SQLite file $STUDY_ROOT/nsys/prefill-disabled/clean_prefill.sqlite from $STUDY_ROOT/nsys/prefill-disabled/clean_prefill.nsys-rep
Processing [$STUDY_ROOT/nsys/prefill-disabled/clean_prefill.sqlite] with [$TOOL_ROOT/nsight-systems-2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.7,2573676,36,71491.0,71424.5,70337,72897,633.4,nvjet_sm90_tst_192x128_64x5_1x2_h_bz_coopB_TNT
18.8,1353348,36,37593.0,37488.0,37056,38496,429.4,nvjet_sm90_tst_128x128_64x6_2x1_v_bz_splitK_TNT
10.7,770785,36,21410.7,21312.0,20960,22304,302.3,nvjet_sm90_tst_96x128_64x7_2x1_v_bz_TNN
8.5,609730,36,16936.9,16896.0,16288,17920,378.0,nvjet_sm90_tst_128x64_64x8_1x2_h_bz_TNT
5.4,389698,36,10824.9,10848.0,10400,11104,182.4,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<(int)2, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cute::tuple<cute::C<(int)128>, cute::C<(int)128>, cute::C<(int)128>>, (int)128, cutlass::bfloat16_t, float, cutlass::arch::Sm90, (bool)1, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)1, (bool)0, (bool)0, cutlass::bfloat16_t, (bool)0, (int)1>, flash::CollectiveEpilogueFwd<cute::tuple<cute::C<(int)128>, cute::C<(int)128>, cute::C<(int)128>>, cute::tuple<cute::C<(int)1>, cute::C<(int)1>, cute::C<(int)1>>, cutlass::bfloat16_t, cutlass::arch::Sm90, (int)256, (bool)1, (bool)1, (bool)0, (bool)0>, flash::VarlenDynamicPersistentTileScheduler<(int)128, (int)128, (int)256, (int)128, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1>>>>(T1::Params)"
4.1,297217,1,297217.0,297217.0,297217,297217,0.0,nvjet_sm90_tst_384x8_64x4_2x1_v_bz_TNT
3.6,256768,72,3566.2,3552.0,3392,4416,202.2,kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign_0
2.6,187840,36,5217.8,5184.0,5024,5440,121.2,"void <unnamed>::act_and_mul_kernel<__nv_bfloat16, (<unnamed>::ActivationKind)0, (bool)1, (bool)0>(<unnamed>::ActivationParams)"
2.2,159587,36,4433.0,4448.0,4321,4544,57.9,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)0, float, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
2.1,149665,36,4157.4,4144.0,4064,4288,61.4,"void <unnamed>::fused_qknorm_warp<(long)128, (bool)1, __nv_bfloat16>(<unnamed>::QKNormParams)"
