Generating SQLite file $STUDY_ROOT/nsys/prefill-disabled/clean_prefill.sqlite from $STUDY_ROOT/nsys/prefill-disabled/clean_prefill.nsys-rep
Processing [$STUDY_ROOT/nsys/prefill-disabled/clean_prefill.sqlite] with [$TOOL_ROOT/nsight-systems-2024.6.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]...

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     35.7          2573676         36   71491.0   71424.5     70337     72897        633.4  nvjet_sm90_tst_192x128_64x5_1x2_h_bz_coopB_TNT
     18.8          1353348         36   37593.0   37488.0     37056     38496        429.4  nvjet_sm90_tst_128x128_64x6_2x1_v_bz_splitK_TNT
     10.7           770785         36   21410.7   21312.0     20960     22304        302.3  nvjet_sm90_tst_96x128_64x7_2x1_v_bz_TNN
      8.5           609730         36   16936.9   16896.0     16288     17920        378.0  nvjet_sm90_tst_128x64_64x8_1x2_h_bz_TNT
      5.4           389698         36   10824.9   10848.0     10400     11104        182.4  void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMa…
      4.1           297217          1  297217.0  297217.0    297217    297217          0.0  nvjet_sm90_tst_384x8_64x4_2x1_v_bz_TNT
      3.6           256768         72    3566.2    3552.0      3392      4416        202.2  kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensor…
      2.6           187840         36    5217.8    5184.0      5024      5440        121.2  void <unnamed>::act_and_mul_kernel<__nv_bfloat16, (<unnamed>::ActivationKind)0, (bool)1, (bool)0>(<…
      2.2           159587         36    4433.0    4448.0      4321      4544         57.9  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat1…
      2.1           149665         36    4157.4    4144.0      4064      4288         61.4  void <unnamed>::fused_qknorm_warp<(long)128, (bool)1, __nv_bfloat16>(<unnamed>::QKNormParams)
      1.8           132929         36    3692.5    3680.0      3616      3809         42.2  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      1.6           117536         36    3264.9    3232.0      3168      3456         69.9  void <unnamed>::fused_rope_kernel<(bool)1, (long)128, (bool)1, __nv_bfloat16, long, (unsigned int)1…
      1.4            97344         36    2704.0    2720.0      2624      2976         79.3  void flash::prepare_varlen_num_blocks_kernel<(int)1, (bool)1>(int, int, int, const int *, const int…
      0.9            64800         36    1800.0    1776.0      1632      1984         99.0  void <unnamed>::store_kvcache<(long)2048, (int)4, (bool)1, long>(<unnamed>::StoreKVCacheParams)
      0.1             7744          1    7744.0    7744.0      7744      7744          0.0  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::ArgMaxOps<…
      0.1             3808          1    3808.0    3808.0      3808      3808          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0             3360          1    3360.0    3360.0      3360      3360          0.0  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.0             2880          1    2880.0    2880.0      2880      2880          0.0  void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void …
      0.0             2688          1    2688.0    2688.0      2688      2688          0.0  kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign12…
      0.0             2624          1    2624.0    2624.0      2624      2624          0.0  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.0             2240          2    1120.0    1120.0      1088      1152         45.3  void at::native::vectorized_elementwise_kernel<(int)2, at::native::CUDAFunctorOnSelf_add<long>, std…
      0.0             2112          2    1056.0    1056.0       896      1216        226.3  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0             1920          1    1920.0    1920.0      1920      1920          0.0  void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_…
      0.0             1504          1    1504.0    1504.0      1504      1504          0.0  void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_…
      0.0             1504          1    1504.0    1504.0      1504      1504          0.0  write_req_to_token_pool_triton
      0.0             1376          1    1376.0    1376.0      1376      1376          0.0  void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
      0.0             1376          1    1376.0    1376.0      1376      1376          0.0  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0              960          1     960.0     960.0       960       960          0.0  compute_position_kernel
      0.0              736          1     736.0     736.0       736       736          0.0  void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<lon…
      0.0              672          1     672.0     672.0       672       672          0.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<cha…
      0.0              672          1     672.0     672.0       672       672          0.0  void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<int…
